chr2 243125000 243199373
chr2 241775000 243100000
chr2 241150000 241775000
chr2 239225000 241100000
chr2 238000000 239200000
chr2 237225000 238000000
chr2 236675000 237150000
chr2 236050000 236675000
chr2 235450000 236050000
chr2 234350000 235450000
chr2 233425000 234175000
chr2 232475000 233400000
chr2 231925000 232325000
chr2 231700000 231925000
chr2 230600000 231700000
chr2 228775000 230575000
chr2 228150000 228750000
chr2 225975000 228000000
chr2 225650000 225900000
chr2 225200000 225550000
chr2 224825000 225175000
chr2 223800000 224725000
chr2 223500000 223800000
chr2 223150000 223500000
chr2 220525000 222875000
chr2 219125000 220525000
chr2 218650000 219050000
chr2 216975000 218625000
chr2 216175000 216900000
chr2 214075000 216175000
chr2 213500000 214025000
chr2 211375000 213500000
chr2 210175000 211275000
chr2 209150000 210125000
chr2 208600000 209125000
chr2 207025000 208600000
chr2 204825000 206850000
chr2 203425000 204800000
chr2 203125000 203400000
chr2 202650000 203075000
chr2 202100000 202600000
chr2 201750000 202050000
chr2 200775000 201725000
chr2 199175000 200700000
chr2 198650000 199175000
chr2 197625000 198575000
chr2 196925000 197625000
chr2 193225000 196925000
chr2 192400000 193175000
chr2 192025000 192400000
chr2 190525000 191900000
chr2 189400000 190500000
chr2 188350000 189375000
chr2 187350000 188350000
chr2 184100000 187350000
chr2 183050000 184025000
chr2 182600000 183000000
chr2 181950000 182575000
chr2 180950000 181850000
chr2 179575000 180675000
chr2 178825000 179500000
chr2 178025000 178725000
chr2 176975000 178025000
chr2 176150000 176950000
chr2 175550000 176050000
chr2 174225000 175550000
chr2 173625000 174100000
chr2 173025000 173575000
chr2 172400000 173000000
chr2 171775000 172300000
chr2 170800000 171775000
chr2 170275000 170675000
chr2 169800000 170150000
chr2 169000000 169800000
chr2 167375000 168975000
chr2 166200000 167325000
chr2 165575000 165850000
chr2 163250000 165400000
chr2 162275000 163175000
chr2 160875000 162175000
chr2 159725000 160825000
chr2 158875000 159700000
chr2 158275000 158875000
chr2 156200000 158125000
chr2 155475000 156175000
chr2 153600000 155250000
chr2 153000000 153600000
chr2 152350000 152875000
chr2 150425000 152300000
chr2 149850000 150425000
chr2 149700000 149850000
chr2 148700000 149700000
chr2 147450000 148675000
chr2 143800000 147450000
chr2 139625000 143775000
chr2 138625000 139600000
chr2 137175000 138600000
chr2 136625000 137175000
chr2 135675000 136625000
chr2 134775000 135675000
chr2 133950000 134625000
chr2 132625000 133925000
chr2 131475000 131700000
chr2 129075000 131175000
chr2 128275000 128925000
chr2 127800000 128250000
chr2 122600000 127625000
chr2 122150000 122550000
chr2 121450000 122125000
chr2 121075000 121450000
chr2 120125000 121075000
chr2 118525000 120075000
chr2 114750000 118525000
chr2 114400000 114750000
chr2 113500000 114175000
chr2 113350000 113500000
chr2 112600000 113250000
chr2 111200000 112500000
chr2 110525000 111000000
chr2 110125000 110525000
chr2 108950000 110125000
chr2 107275000 108825000
chr2 106175000 107200000
chr2 105650000 106175000
chr2 103450000 105450000
chr2 102625000 103375000
chr2 101875000 102500000
chr2 101625000 101850000
chr2 101175000 101625000
chr2 100125000 101175000
chr2 99225000 100100000
chr2 99025000 99225000
chr2 98150000 99000000
chr2 96650000 97800000
chr2 92325000 96450000
chr2 90275000 91875000
chr2 89625000 90275000
chr2 88275000 89550000
chr2 86425000 87125000
chr2 86050000 86425000
chr2 85850000 86050000
chr2 85550000 85850000
chr2 85150000 85550000
chr2 84625000 85125000
chr2 79325000 84575000
chr2 76000000 79250000
chr2 75150000 75950000
chr2 74875000 75125000
chr2 74675000 74825000
chr2 73525000 74650000
chr2 73100000 73500000
chr2 71325000 73100000
chr2 70525000 71250000
chr2 70125000 70525000
chr2 69625000 70075000
chr2 69200000 69575000
chr2 68675000 69175000
chr2 68350000 68550000
chr2 65825000 68325000
chr2 65475000 65825000
chr2 64800000 65450000
chr2 64225000 64750000
chr2 62675000 64125000
chr2 62125000 62650000
chr2 60925000 62100000
chr2 59275000 60900000
chr2 58750000 58950000
chr2 57900000 58475000
chr2 56375000 57850000
chr2 55900000 56375000
chr2 54000000 55850000
chr2 50725000 53975000
chr2 48925000 50725000
chr2 48050000 48825000
chr2 47650000 48025000
chr2 47150000 47625000
chr2 46175000 47150000
chr2 45825000 46175000
chr2 45175000 45825000
chr2 43850000 45175000
chr2 43025000 43825000
chr2 42725000 43000000
chr2 42325000 42600000
chr2 42050000 42325000
chr2 40025000 42050000
chr2 39500000 40000000
chr2 39150000 39475000
chr2 38150000 39025000
chr2 37375000 38150000
chr2 36575000 37275000
chr2 33850000 36550000
chr2 32050000 33825000
chr2 30950000 31975000
chr2 30350000 30950000
chr2 29150000 30300000
chr2 28775000 29150000
chr2 27900000 28775000
chr2 27575000 27900000
chr2 27300000 27575000
chr2 26800000 27250000
chr2 26075000 26400000
chr2 25475000 25925000
chr2 25200000 25450000
chr2 24000000 25050000
chr2 21550000 23975000
chr2 20875000 21225000
chr2 20550000 20850000
chr2 20125000 20550000
chr2 17875000 20100000
chr2 17125000 17550000
chr2 15750000 16950000
chr2 15300000 15750000
chr2 13200000 15150000
chr2 11925000 13200000
chr2 11275000 11825000
chr2 10825000 11250000
chr2 10250000 10825000
chr2 9575000 10200000
chr2 9275000 9550000
chr2 7225000 9275000
chr2 7000000 7200000
chr2 5025000 6950000
chr2 3850000 4825000
chr2 1825000 3725000
chr2 1575000 1825000
chr2 0 1525000
